지점,일시,최저기온(°C),평균기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa)
131,2002-09-24,11.2,17.7,25.3,0.0,1.2,11.4,71.3,1010.7
131,2002-09-25,12.3,18.5,25.9,0.0,1.6,10.9,64.8,1013.6
131,2002-09-26,14.5,19.4,25.9,0.0,1.6,13.0,68.1,1012.9
131,2002-09-27,13.7,18.2,22.7,0.0,1.8,12.6,71.8,1009.8
131,2002-09-28,14.0,20.0,26.2,3.5,2.1,13.5,68.6,1006.1
131,2002-09-29,15.2,18.0,22.2,23.5,1.8,14.3,79.6,1006.0
131,2002-09-30,14.4,18.6,24.2,0.0,1.5,13.6,74.8,1006.5
131,2002-10-01,13.6,17.9,23.9,0.0,1.5,13.0,75.6,1002.6
131,2002-10-02,11.3,16.2,21.1,1.5,3.2,9.6,68.1,1003.5
131,2002-10-03,8.6,15.7,24.4,0.0,2.4,9.3,68.3,1005.5
131,2002-10-04,7.5,14.4,22.3,0.0,1.4,5.4,61.0,1009.7
131,2002-10-05,10.2,14.3,17.5,21.5,2.0,10.6,79.3,1009.0
131,2002-10-06,13.6,15.0,16.4,15.5,1.8,12.2,83.9,1004.8
131,2002-10-07,11.2,13.9,18.5,0.5,2.4,8.9,73.0,1009.0
131,2002-10-08,6.8,11.8,16.9,0.0,2.2,5.2,66.6,1016.2
131,2002-10-09,4.3,11.2,18.3,0.0,1.5,4.3,67.8,1020.6
131,2002-10-10,5.5,13.5,21.4,0.0,1.2,6.8,68.0,1019.3
131,2002-10-11,8.6,15.2,22.3,0.0,0.9,9.1,70.1,1014.1
131,2002-10-12,8.4,16.7,23.9,0.0,1.3,10.9,71.1,1009.8
131,2002-10-13,13.4,17.5,23.8,0.0,1.8,13.0,75.6,1008.5
131,2002-10-14,9.4,14.8,22.3,0.0,1.3,8.1,68.1,1008.0
131,2002-10-15,12.0,14.7,19.5,6.0,3.5,10.3,75.4,1007.2
131,2002-10-16,8.0,13.6,20.1,0.0,1.2,9.0,76.1,1012.5
131,2002-10-17,8.0,15.3,24.4,0.0,0.9,9.3,71.6,1011.8
131,2002-10-18,11.5,15.0,17.6,3.0,1.8,12.1,83.4,1009.6
131,2002-10-19,13.2,16.6,20.0,0.5,5.2,9.7,64.6,1009.7
131,2002-10-20,12.0,14.1,17.3,0.5,4.0,9.4,73.5,1010.8
131,2002-10-21,6.5,11.1,15.3,0.0,3.3,5.1,67.3,1009.9
131,2002-10-22,1.8,5.5,10.3,0.0,3.0,-4.2,50.8,1014.0
131,2002-10-23,-0.9,4.2,9.8,0.0,1.2,-3.9,59.9,1013.9
131,2002-10-24,0.9,9.1,16.6,1.0,1.6,2.1,64.0,1014.5
131,2002-10-25,4.0,10.8,16.5,0.0,1.4,5.9,73.5,1015.6
131,2002-10-26,4.0,7.8,12.4,7.5,4.3,1.6,67.4,1009.1
131,2002-10-27,2.3,4.1,6.6,0.5,3.5,-1.1,69.8,1010.6
131,2002-10-28,1.2,4.7,8.8,0.0,3.6,-4.0,54.5,1013.5
131,2002-10-29,-1.1,4.7,10.9,0.0,2.3,-3.6,57.8,1018.2
131,2002-10-30,-1.5,6.9,15.1,0.0,1.5,-1.9,58.1,1020.2
131,2002-10-31,4.2,11.4,18.6,0.0,1.9,2.3,56.4,1014.9
131,2002-11-01,1.5,5.7,11.1,0.0,5.0,-4.8,47.3,1013.1
131,2002-11-02,-1.5,3.5,7.4,0.0,1.9,-2.8,64.8,1010.6
131,2002-11-03,1.2,3.7,7.1,5.5,2.3,0.6,80.1,1008.7
131,2002-11-04,-0.9,1.8,5.9,0.0,3.1,-5.4,58.1,1015.2
131,2002-11-05,-3.8,3.5,9.4,0.0,1.3,-5.3,56.9,1020.3
131,2002-11-06,2.5,9.7,17.5,0.0,2.0,-0.2,51.6,1019.8
131,2002-11-07,6.7,10.6,16.9,15.0,2.6,6.5,76.3,1010.0
131,2002-11-08,0.3,3.2,8.2,1.0,4.1,-2.8,64.4,1009.9
131,2002-11-09,-2.1,2.2,7.8,0.0,3.1,-7.5,50.0,1014.3
131,2002-11-10,-1.3,7.8,14.1,0.1,1.8,1.8,68.1,1011.6
131,2002-11-11,9.2,14.0,19.4,0.0,3.8,7.0,63.6,1005.0
131,2002-11-12,3.2,6.4,9.9,0.0,3.3,-5.2,44.6,1011.8
131,2002-11-13,-0.9,2.2,6.8,0.2,2.4,-5.1,59.0,1012.7
131,2002-11-14,-3.5,3.5,9.4,0.5,2.4,-1.2,73.4,1009.9
131,2002-11-15,-1.5,1.8,6.0,0.0,2.9,-8.7,43.4,1014.1
131,2002-11-16,-3.8,1.7,7.6,0.0,1.7,-9.2,46.0,1017.5
131,2002-11-17,-3.0,2.1,4.9,1.0,2.3,-2.2,73.5,1015.2
131,2002-11-18,-4.0,-0.4,3.4,1.0,3.7,-7.1,62.4,1023.1
131,2002-11-19,-6.7,-0.3,5.6,0.0,1.3,-6.5,66.5,1024.9
131,2002-11-20,-0.6,4.5,8.0,0.5,1.3,-0.3,71.5,1022.1
131,2002-11-21,0.1,3.5,7.7,0.0,2.6,-4.6,58.3,1022.2
131,2002-11-22,-2.0,4.2,11.9,0.0,1.6,-3.6,59.0,1019.5
131,2002-11-23,-1.5,6.0,13.9,0.0,1.1,-0.4,65.4,1016.0
131,2002-11-24,0.6,4.0,9.9,0.0,1.4,0.4,78.5,1012.8
131,2002-11-25,-1.8,2.8,8.1,0.0,2.5,-5.5,56.9,1012.9
131,2002-11-26,-4.4,-0.1,5.7,1.0,2.4,-3.8,76.9,1012.8
131,2002-11-27,-2.6,0.6,5.1,0.0,2.9,-9.1,48.6,1018.3
131,2002-11-28,-5.6,1.6,7.4,0.0,1.2,-5.4,62.5,1019.9
131,2002-11-29,3.0,8.3,13.7,0.5,1.7,2.6,68.1,1017.0
131,2002-11-30,-0.1,4.8,9.7,0.0,1.9,-3.7,59.0,1016.2
131,2002-12-01,-4.7,2.0,9.8,0.0,0.7,-5.8,60.8,1016.4
131,2002-12-02,-1.4,4.6,11.8,0.0,0.7,-2.3,63.3,1019.7
131,2002-12-03,-0.6,4.5,7.9,11.5,1.1,0.3,75.1,1015.4
131,2002-12-04,6.4,9.8,15.9,12.0,2.5,4.4,70.4,1009.1
131,2002-12-05,2.4,7.6,11.7,0.0,2.2,0.9,64.5,1014.1
131,2002-12-06,0.3,5.2,9.5,0.0,1.5,0.7,73.5,1017.6
131,2002-12-07,2.7,4.9,6.3,1.0,2.3,1.5,79.6,1017.4
131,2002-12-08,0.2,2.0,5.3,6.0,3.2,-0.2,85.0,1017.7
131,2002-12-09,-4.7,-3.0,0.2,0.0,5.0,-12.6,51.4,1019.7
131,2002-12-10,-7.8,-5.0,-1.7,0.0,3.4,-15.1,50.5,1021.2
131,2002-12-11,-7.0,-4.2,-0.4,0.0,2.7,-13.1,57.9,1022.4
131,2002-12-12,-7.8,-3.6,1.3,0.0,2.4,-11.9,56.5,1025.0
131,2002-12-13,-9.5,-3.5,3.0,0.0,1.1,-12.0,57.4,1028.6
131,2002-12-14,-8.6,-1.7,4.9,0.0,1.2,-8.1,65.4,1027.2
131,2002-12-15,-4.8,2.1,8.6,2.5,1.3,-2.8,73.5,1021.0
131,2002-12-16,2.8,4.9,8.2,9.0,2.5,2.7,85.9,1010.4
131,2002-12-17,0.9,4.0,8.3,0.0,1.9,-1.0,70.4,1018.1
131,2002-12-18,-0.2,4.2,8.7,0.0,1.8,-0.4,73.0,1017.6
131,2002-12-19,0.3,4.1,10.8,0.0,2.5,-4.5,58.0,1020.1
131,2002-12-20,-3.3,3.2,9.7,0.0,1.9,-2.3,68.9,1021.3
131,2002-12-21,1.9,6.1,11.8,0.0,2.7,-0.2,65.3,1017.9
131,2002-12-22,1.4,6.6,12.3,0.0,2.8,-0.8,60.9,1019.5
131,2002-12-23,3.2,6.9,10.5,2.5,1.6,1.5,70.1,1016.7
131,2002-12-24,1.5,3.4,6.0,0.4,2.7,0.6,82.0,1015.4
131,2002-12-25,-3.5,-1.6,1.7,3.0,3.1,-4.6,81.3,1017.0
131,2002-12-26,-7.2,-4.4,-0.8,0.0,3.2,-12.3,57.8,1022.0
131,2002-12-27,-10.0,-4.4,0.8,0.0,1.8,-12.3,58.6,1022.6
131,2002-12-28,-7.7,-1.5,3.0,0.1,1.7,-6.0,73.0,1016.4
131,2002-12-29,-5.5,-1.6,3.4,0.0,1.9,-11.0,51.0,1018.7
131,2002-12-30,-7.2,-1.9,3.6,0.0,1.2,-8.6,62.6,1017.1
131,2002-12-31,-4.9,-1.6,3.3,0.0,2.0,-6.8,69.0,1016.8
131,2003-01-01,-5.8,-2.8,1.6,0.0,3.1,-11.1,54.4,1020.9
131,2003-01-02,-10.7,-3.4,2.3,0.0,1.4,-13.1,49.9,1023.8
131,2003-01-03,-5.4,-2.5,1.0,2.0,2.5,-7.6,70.4,1013.9
131,2003-01-04,-11.7,-8.1,-5.0,3.0,3.1,-12.2,79.4,1016.1
131,2003-01-05,-13.9,-11.5,-8.1,0.0,3.4,-19.0,60.6,1025.1
131,2003-01-06,-17.5,-10.6,-3.4,0.0,1.3,-19.1,57.9,1026.7
131,2003-01-07,-16.2,-9.0,-1.0,0.0,0.7,-15.5,67.4,1025.1
131,2003-01-08,-14.1,-6.9,1.1,0.0,0.9,-12.9,68.4,1023.2
131,2003-01-09,-8.3,-1.8,3.6,0.0,1.1,-6.2,72.9,1017.9
131,2003-01-10,-6.2,-1.4,3.6,0.0,0.8,-4.6,80.5,1014.0
131,2003-01-11,-6.4,-1.4,4.6,0.0,1.1,-4.4,82.4,1014.9
131,2003-01-12,-3.1,2.0,7.7,0.0,1.5,-2.4,74.1,1014.2
131,2003-01-13,-2.4,3.4,9.7,0.0,1.3,-0.3,78.0,1009.7
131,2003-01-14,-5.6,-0.6,3.5,0.0,4.4,-9.3,53.3,1016.8
131,2003-01-15,-10.0,-4.3,1.5,0.0,1.3,-14.7,48.5,1024.4
131,2003-01-16,-7.6,-1.2,4.3,0.0,1.3,-8.4,59.8,1020.3
131,2003-01-17,-1.2,2.3,6.2,0.1,1.2,-1.7,74.5,1016.2
131,2003-01-18,0.4,2.6,6.7,0.0,2.2,-2.6,68.6,1018.2
131,2003-01-19,-1.3,1.1,5.6,0.0,2.4,-5.8,61.6,1011.7
131,2003-01-20,-4.6,-1.2,3.5,0.4,1.8,-6.1,70.4,1010.9
131,2003-01-21,-6.6,-1.8,3.2,0.0,2.0,-8.8,59.4,1014.2
131,2003-01-22,-4.6,-2.4,-1.0,3.0,2.3,-5.3,82.5,1008.3
131,2003-01-23,-5.3,-1.8,2.6,0.0,2.5,-6.0,73.8,1006.9
131,2003-01-24,-5.2,-1.4,3.7,0.0,2.0,-10.2,53.9,1016.6
131,2003-01-25,-8.6,-1.3,5.1,0.0,0.9,-8.3,61.3,1020.9
131,2003-01-26,0.1,3.0,4.7,0.4,2.1,-0.6,76.3,1013.5
131,2003-01-27,-4.6,-0.5,2.9,6.2,3.6,-3.4,82.0,1007.1
131,2003-01-28,-9.7,-5.8,-1.6,1.1,4.3,-12.6,63.6,1011.1
131,2003-01-29,-12.9,-10.4,-6.6,0.0,5.2,-19.0,55.9,1018.3
131,2003-01-30,-15.1,-8.1,-1.4,0.0,1.6,-16.8,59.0,1022.9
131,2003-01-31,-8.8,-3.0,3.1,0.0,1.8,-10.6,59.0,1020.7
131,2003-02-01,-9.7,-2.4,5.3,0.0,1.3,-9.5,62.9,1020.5
131,2003-02-02,-7.6,-1.8,4.7,0.0,1.3,-8.5,64.0,1019.7
131,2003-02-03,-7.7,-1.0,5.4,0.0,1.3,-8.2,61.9,1018.9
131,2003-02-04,-2.4,0.0,4.3,0.0,2.0,-7.8,55.9,1016.0
131,2003-02-05,-5.7,-0.7,4.6,0.0,2.6,-8.0,59.4,1018.9
131,2003-02-06,-5.9,0.2,6.7,0.0,2.0,-7.0,61.6,1021.6
131,2003-02-07,-2.7,2.7,7.2,0.0,1.2,-2.9,68.4,1016.1
131,2003-02-08,0.9,2.3,4.0,13.5,2.3,-0.1,84.4,1009.9
131,2003-02-09,0.3,1.7,4.1,0.0,2.0,0.6,90.6,1016.1
131,2003-02-10,0.2,3.6,8.1,0.5,2.7,1.2,85.1,1014.9
131,2003-02-11,-4.6,0.2,4.1,1.5,4.3,-6.7,61.9,1015.9
131,2003-02-12,-7.2,-3.7,0.8,0.0,3.2,-15.9,39.8,1019.4
131,2003-02-13,-5.9,0.1,6.1,0.0,2.5,-9.0,50.6,1019.1
131,2003-02-14,-3.4,1.9,8.5,0.0,1.3,-6.8,56.3,1020.0
131,2003-02-15,-3.9,2.8,8.2,0.0,1.2,-7.8,49.5,1014.2
131,2003-02-16,-0.5,4.1,10.4,0.0,2.3,-5.9,49.3,1012.1
131,2003-02-17,-3.3,3.5,10.5,0.0,1.4,-5.7,56.0,1014.5
131,2003-02-18,-2.2,3.3,8.5,0.0,1.2,-1.7,69.4,1012.2
131,2003-02-19,1.9,3.2,6.2,0.0,2.7,-0.8,73.9,1010.5
131,2003-02-20,-0.9,3.0,8.3,0.0,2.4,-7.2,50.3,1017.5
131,2003-02-21,-0.8,3.0,6.3,0.0,1.9,-3.4,62.8,1016.0
131,2003-02-22,2.6,4.0,5.5,26.5,3.7,2.8,89.6,1005.4
131,2003-02-23,2.3,3.6,5.8,2.0,3.0,1.3,83.9,1009.0
131,2003-02-24,1.5,3.9,8.3,1.0,2.2,-0.1,74.8,1011.9
131,2003-02-25,2.6,5.8,10.7,0.0,1.8,-2.3,57.0,1015.7
131,2003-02-26,2.1,5.4,12.2,0.0,2.3,0.0,68.8,1014.7
131,2003-02-27,1.0,6.0,12.3,0.0,3.3,-2.4,58.6,1019.7
131,2003-02-28,0.1,7.4,12.5,0.0,2.1,-2.9,49.3,1015.8
131,2003-03-01,2.5,5.0,9.1,10.0,2.7,2.0,79.4,1005.9
131,2003-03-02,1.1,5.3,10.5,2.0,2.2,-1.1,65.0,1006.0
131,2003-03-03,-2.9,1.1,3.7,0.5,4.8,-6.1,61.0,1004.7
131,2003-03-04,-4.9,-1.1,4.0,0.0,2.6,-12.7,43.4,1016.7
131,2003-03-05,-2.8,3.2,8.2,0.0,1.7,-7.2,48.5,1019.1
131,2003-03-06,1.1,3.3,5.7,7.0,3.4,0.9,83.5,1011.9
131,2003-03-07,2.2,3.1,4.5,0.5,3.2,0.7,82.4,1008.9
131,2003-03-08,0.5,2.0,4.2,0.5,1.8,-0.4,83.0,1016.8
131,2003-03-09,-1.4,3.1,8.3,0.0,1.6,-3.2,66.1,1023.3
131,2003-03-10,-1.6,3.9,9.6,0.0,1.9,-4.8,56.6,1026.3
131,2003-03-11,-1.9,5.0,11.5,0.0,1.4,-5.8,49.9,1027.6
131,2003-03-12,1.4,6.9,12.7,0.0,2.3,-5.2,45.0,1027.4
131,2003-03-13,-0.5,5.6,12.1,0.0,2.2,-4.7,52.0,1025.1
131,2003-03-14,-1.4,5.4,12.0,0.0,1.5,-3.5,55.9,1018.8
131,2003-03-15,3.1,7.8,13.6,0.1,2.0,0.4,60.1,1013.7
131,2003-03-16,6.4,7.3,8.6,4.5,1.3,4.2,79.5,1010.1
131,2003-03-17,3.9,5.2,7.4,0.0,1.6,2.7,82.3,1013.6
131,2003-03-18,-0.8,4.6,11.9,0.0,1.5,-2.6,65.6,1016.3
131,2003-03-19,-1.5,5.6,12.8,0.0,1.4,-5.4,49.0,1015.4
131,2003-03-20,-1.9,6.8,15.1,0.0,1.1,-5.2,48.6,1015.5
131,2003-03-21,1.1,9.1,15.6,0.0,1.6,-1.4,50.6,1016.4
131,2003-03-22,2.7,9.7,16.3,0.0,1.7,-1.8,46.0,1019.1
131,2003-03-23,2.1,8.2,14.3,0.0,0.8,-1.9,51.5,1017.0
131,2003-03-24,1.5,9.2,15.3,0.3,1.3,1.6,60.3,1011.2
131,2003-03-25,5.3,8.5,12.8,1.0,2.1,3.5,70.6,1012.3
131,2003-03-26,4.5,11.2,17.9,0.0,1.7,1.5,54.4,1011.1
131,2003-03-27,3.9,8.4,13.2,12.5,3.0,0.7,59.5,1006.6
131,2003-03-28,1.7,5.9,12.0,0.0,1.8,-3.1,54.1,1007.2
131,2003-03-29,-0.8,7.7,15.0,0.0,1.3,-5.1,43.6,1006.6
131,2003-03-30,4.3,13.3,20.3,0.0,1.3,-0.7,39.6,1006.2
131,2003-03-31,10.7,15.7,20.4,0.0,1.8,8.0,59.3,1004.3
131,2003-04-01,13.1,16.3,21.4,0.0,3.6,-7.7,19.9,1005.3
131,2003-04-02,8.4,14.4,19.6,0.0,2.9,-5.0,26.6,1006.2
131,2003-04-03,5.6,13.6,19.4,0.0,2.2,-5.1,28.1,1007.1
131,2003-04-04,8.9,13.1,17.4,0.0,2.3,-1.7,36.3,1006.5
131,2003-04-05,2.8,11.2,19.3,0.0,1.9,-5.0,36.1,1009.4
131,2003-04-06,5.0,12.9,21.3,0.0,1.7,-2.5,36.8,1010.8
131,2003-04-07,3.9,9.7,17.1,10.5,2.0,1.8,62.6,1006.3
131,2003-04-08,7.5,9.6,13.5,16.0,3.1,5.7,75.9,1003.4
131,2003-04-09,5.8,8.2,10.8,0.0,2.4,3.3,70.3,1014.2
131,2003-04-10,1.8,11.4,18.6,0.0,2.1,-1.9,47.6,1017.2
131,2003-04-11,6.8,9.6,13.4,7.0,1.5,6.8,82.6,1006.6
131,2003-04-12,8.6,12.4,18.7,0.2,2.0,8.8,78.6,1002.7
131,2003-04-13,6.7,12.2,19.8,0.0,1.9,1.6,53.5,1006.6
131,2003-04-14,6.9,12.9,20.8,0.0,1.6,-2.7,38.8,1007.9
131,2003-04-15,3.5,13.9,22.2,0.0,1.5,0.7,44.3,1011.9
131,2003-04-16,7.6,16.5,25.1,0.0,1.5,1.9,42.4,1013.7
131,2003-04-17,8.5,18.3,26.1,0.0,1.6,8.4,53.6,1011.9
131,2003-04-18,13.6,18.1,23.3,19.0,1.8,13.8,76.3,1004.0
131,2003-04-19,10.0,12.1,15.9,6.0,2.0,9.3,81.9,1003.3
131,2003-04-20,9.1,10.1,11.2,6.0,1.9,8.2,86.6,1007.0
131,2003-04-21,6.6,12.8,19.5,0.0,3.0,3.5,55.0,1016.0
131,2003-04-22,9.2,11.5,13.6,0.5,1.8,2.9,55.5,1015.5
131,2003-04-23,9.0,11.4,14.0,19.5,1.4,8.7,82.6,1007.7
131,2003-04-24,9.0,13.8,17.8,0.5,1.2,9.2,73.8,1006.4
131,2003-04-25,11.2,12.4,13.7,65.0,2.7,10.9,89.4,1000.4
131,2003-04-26,7.3,14.7,22.0,0.0,1.3,8.3,67.6,1007.7
131,2003-04-27,11.4,16.7,23.5,0.0,1.9,7.7,58.1,1011.4
131,2003-04-28,8.8,17.9,26.2,0.0,1.4,5.4,49.3,1012.7
131,2003-04-29,11.9,13.8,16.8,42.5,1.7,11.1,83.3,1002.1
131,2003-04-30,9.5,14.4,20.6,0.0,2.2,2.1,49.1,1007.1
131,2003-05-01,5.9,15.9,24.4,0.0,1.5,4.7,49.6,1010.3
131,2003-05-02,9.5,17.3,25.6,0.0,1.5,4.5,50.0,1008.3
131,2003-05-03,8.9,17.6,25.9,0.0,1.4,5.8,50.8,1007.9
131,2003-05-04,13.2,19.7,27.2,0.0,1.2,9.3,54.4,1007.2
131,2003-05-05,12.5,21.3,28.4,0.0,1.6,7.7,47.8,1005.7
131,2003-05-06,16.4,18.4,21.3,11.5,1.5,13.0,71.8,1002.0
131,2003-05-07,9.6,17.0,20.8,52.0,2.0,15.4,89.5,994.6
131,2003-05-08,9.7,13.1,17.6,0.5,3.1,5.0,58.4,1007.4
131,2003-05-09,7.7,14.1,20.7,0.0,1.6,4.9,55.3,1012.9
131,2003-05-10,8.9,15.9,22.6,0.0,1.5,5.3,52.6,1011.7
131,2003-05-11,9.3,17.1,24.9,0.0,1.4,2.7,43.4,1011.4
131,2003-05-12,10.1,18.1,25.4,0.0,1.5,7.5,52.5,1013.3
131,2003-05-13,12.2,20.4,28.1,0.0,1.4,10.0,54.1,1009.8
131,2003-05-14,16.2,21.0,26.0,0.0,2.5,12.4,58.9,1004.2
131,2003-05-15,17.1,20.6,26.3,0.0,3.0,11.4,56.5,1003.3
131,2003-05-16,14.8,20.4,25.7,0.0,1.8,8.8,49.5,1005.4
131,2003-05-17,14.0,19.9,26.3,0.0,1.7,8.2,48.5,1003.4
131,2003-05-18,14.6,18.6,24.9,0.0,1.6,11.4,64.5,1002.2
131,2003-05-19,11.8,18.4,25.3,0.0,1.6,9.3,58.1,1003.7
131,2003-05-20,13.0,18.5,23.7,0.0,1.6,10.5,60.4,1006.1
131,2003-05-21,12.8,18.7,25.0,0.0,1.2,11.4,64.5,1008.2
131,2003-05-22,14.0,20.4,27.1,0.0,1.5,12.8,64.6,1007.2
131,2003-05-23,14.4,21.3,28.6,0.0,1.5,13.0,62.0,1007.8
131,2003-05-24,16.9,20.6,25.0,1.5,1.7,13.9,65.8,1006.4
131,2003-05-25,14.9,16.7,18.0,22.5,3.3,13.8,82.3,1003.5
131,2003-05-26,16.1,20.1,24.7,0.5,2.7,13.5,66.4,1004.1
131,2003-05-27,15.3,22.3,28.6,0.0,1.9,13.9,61.0,1005.7
131,2003-05-28,15.7,23.4,29.3,0.0,2.7,12.5,51.4,1005.7
131,2003-05-29,20.2,22.4,25.3,3.5,2.2,15.4,64.9,1004.2
131,2003-05-30,18.6,20.1,22.5,21.5,2.4,16.7,80.1,1001.3
131,2003-05-31,17.7,22.5,27.5,0.0,2.6,14.0,59.9,997.4
131,2003-06-01,16.8,22.4,29.0,0.0,1.7,11.4,53.8,999.0
131,2003-06-02,14.0,20.7,27.7,0.0,1.5,7.9,48.1,1002.2
131,2003-06-03,13.4,20.5,26.2,0.0,1.3,11.1,57.4,1005.7
131,2003-06-04,15.5,20.7,26.5,0.0,1.5,9.7,53.9,1002.4
131,2003-06-05,13.9,21.8,28.7,0.0,1.5,10.9,52.0,1002.4
131,2003-06-06,16.4,19.8,25.4,0.0,1.8,12.7,64.0,1001.2
131,2003-06-07,14.6,21.4,28.1,0.0,1.4,12.8,61.1,1003.1
131,2003-06-08,16.9,24.1,29.8,0.0,1.4,13.1,53.4,1006.2
131,2003-06-09,19.9,24.5,29.0,0.0,2.6,11.8,44.6,1004.9
131,2003-06-10,21.3,23.1,26.1,0.0,2.1,13.8,55.4,1002.1
131,2003-06-11,19.7,21.8,24.6,11.5,2.0,15.5,67.9,999.7
131,2003-06-12,18.2,19.5,22.2,21.0,1.1,17.7,88.8,994.3
131,2003-06-13,17.7,20.6,24.2,0.0,1.9,15.6,73.3,998.9
131,2003-06-14,18.6,21.3,24.5,0.0,2.1,14.4,65.1,999.8
131,2003-06-15,16.8,19.4,24.2,1.5,1.4,16.6,82.8,1001.6
131,2003-06-16,18.4,22.1,27.4,5.5,1.5,16.9,73.5,1003.6
131,2003-06-17,18.0,22.8,28.0,0.0,1.4,16.1,67.3,1004.6
131,2003-06-18,18.6,23.5,28.2,0.0,1.4,15.8,63.3,1001.6
131,2003-06-19,20.3,21.6,23.1,1.0,2.1,17.9,78.4,994.9
131,2003-06-20,19.2,22.7,26.1,0.0,1.8,16.8,69.6,1001.5
131,2003-06-21,19.4,23.9,28.0,0.0,1.4,18.5,72.8,1004.1
131,2003-06-22,21.7,25.2,29.8,0.0,1.4,19.6,71.8,1002.2
131,2003-06-23,20.5,22.4,24.5,28.0,2.3,19.3,81.9,992.1
131,2003-06-24,18.8,20.1,23.1,1.5,2.9,15.9,75.8,990.0
131,2003-06-25,17.8,19.9,22.5,0.5,1.7,16.7,80.8,992.9
131,2003-06-26,18.7,23.6,28.8,0.0,1.2,17.5,69.6,998.6
131,2003-06-27,18.8,20.2,23.3,111.5,2.1,17.8,86.0,991.9
131,2003-06-28,18.8,21.4,25.3,4.0,1.4,18.4,83.0,996.3
131,2003-06-29,18.9,22.1,25.4,0.0,2.0,16.8,71.5,1000.4
131,2003-06-30,20.3,23.4,27.7,0.0,1.3,17.9,71.8,1000.1
131,2003-07-01,20.4,23.4,27.8,3.5,1.3,18.0,72.9,1001.4
131,2003-07-02,18.7,24.9,31.0,0.5,1.7,17.8,66.5,1003.3
131,2003-07-03,17.4,19.9,24.0,47.0,2.9,17.1,83.3,996.0
131,2003-07-04,19.3,21.7,24.7,0.5,1.4,18.0,78.9,999.4
131,2003-07-05,19.4,23.4,28.0,0.2,1.4,18.6,74.3,998.3
131,2003-07-06,21.4,22.7,23.7,3.0,1.2,20.1,84.3,999.2
131,2003-07-07,19.8,22.8,25.5,0.0,1.9,18.3,75.5,1001.5
131,2003-07-08,18.9,23.2,27.5,1.0,1.8,18.7,75.9,1002.4
131,2003-07-09,21.9,22.9,24.6,79.0,1.6,21.2,89.5,998.9
131,2003-07-10,21.6,22.9,25.4,8.5,1.3,20.3,85.0,998.7
131,2003-07-11,20.1,23.9,28.9,0.0,1.8,18.8,73.4,999.6
131,2003-07-12,20.1,22.0,24.3,14.0,1.3,18.8,81.8,1001.7
131,2003-07-13,18.3,20.8,23.2,30.0,2.3,16.7,77.4,997.7
131,2003-07-14,16.4,22.0,26.4,0.0,0.9,16.3,70.5,1000.2
131,2003-07-15,20.4,24.1,28.3,0.0,1.5,16.5,62.8,1001.1
131,2003-07-16,21.0,24.6,29.2,0.0,1.6,17.8,66.1,1003.3
131,2003-07-17,19.9,22.9,26.6,1.0,2.6,15.5,63.4,1001.9
131,2003-07-18,19.0,21.2,24.6,40.5,2.6,18.2,82.5,993.5
131,2003-07-19,20.1,23.5,27.5,3.5,2.3,17.1,68.5,997.9
131,2003-07-20,19.6,23.2,27.3,0.5,1.2,19.9,81.5,1001.2
131,2003-07-21,20.7,25.6,30.1,0.0,1.4,20.5,73.9,1003.5
131,2003-07-22,21.6,23.3,26.3,149.0,2.3,20.9,86.0,1002.3
131,2003-07-23,21.7,24.0,27.0,3.0,1.7,20.8,82.1,1002.1
131,2003-07-24,20.6,25.3,30.8,1.0,1.2,20.8,76.6,1004.1
131,2003-07-25,22.1,25.2,29.4,32.5,2.2,20.5,75.6,1003.9
131,2003-07-26,22.7,25.2,29.2,0.0,2.2,18.1,64.3,1005.3
131,2003-07-27,20.3,22.8,24.2,8.5,1.5,17.8,73.1,1005.1
131,2003-07-28,21.2,23.6,26.8,25.0,1.9,18.7,74.0,1000.7
131,2003-07-29,21.9,23.9,26.9,15.5,1.4,21.8,87.5,995.9
131,2003-07-30,20.4,25.5,30.8,0.0,1.6,20.0,72.5,998.8
131,2003-07-31,21.8,25.4,29.7,0.0,1.3,21.2,77.3,1000.1
131,2003-08-01,23.0,26.9,31.8,0.0,1.2,21.4,73.1,998.9
131,2003-08-02,24.3,27.6,31.3,0.0,1.7,20.9,67.4,999.3
131,2003-08-03,24.8,26.9,29.1,0.0,1.2,22.9,78.6,1001.1
131,2003-08-04,22.8,26.5,31.4,21.5,1.2,22.6,79.5,1003.0
131,2003-08-05,23.5,26.8,30.2,0.1,1.3,21.1,71.9,1003.7
131,2003-08-06,20.7,25.4,30.6,5.0,1.8,20.0,72.3,1000.7
131,2003-08-07,20.7,23.1,26.3,7.0,1.4,19.5,79.9,997.6
131,2003-08-08,19.7,23.9,30.0,0.0,2.0,19.2,76.1,991.3
131,2003-08-09,21.5,25.5,30.7,0.0,1.4,18.9,68.0,991.9
131,2003-08-10,20.6,24.6,29.6,4.0,1.2,19.8,75.5,996.9
131,2003-08-11,21.3,23.5,25.9,8.5,1.4,20.0,80.5,999.5
131,2003-08-12,19.1,23.4,28.8,0.0,1.2,17.3,70.1,1004.4
131,2003-08-13,18.4,22.7,28.1,0.0,1.3,17.0,71.4,1005.6
131,2003-08-14,17.9,23.6,29.4,0.0,2.2,14.4,59.1,1005.7
